key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.719054099987261,136.53444900002796,136.53444900002796,136.83455550007056,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,up,0.01,db,0.05005759777690845,0.0007154999766498804,144.2257429000456,144.2257429000456,144.52526170003694,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.050115261903894995,0.0005086000310257077,146.77364360005595,146.77364360005595,147.07340470002964,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.05005759777690845,0.0010217999806627631,149.20494429999962,149.20494429999962,149.50460470002145,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.005,db,0.050086421541866995,0.0004582999972626567,151.70297360001132,151.70297360001132,152.00270449998789,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.005,db,0.050086421541866995,0.00041099998634308577,154.1515355000738,154.1515355000738,154.45061830000486,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.005,db,0.050086421541866995,0.0003344999859109521,156.5488972000312,156.5488972000312,156.84874579997268,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.005,db,0.05005759777690845,0.0005798999918624759,158.94706110004336,158.94706110004336,159.24702090001665,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.005,db,0.05005759777690845,0.00042559998109936714,161.37838010000996,161.37838010000996,161.67789619998075,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.005,db,0.05005759777690845,0.0010065999813377857,163.74310930003412,163.74310930003412,164.04272210004274,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.005,db,0.050086421541866995,0.0004165000282227993,166.10787940002047,166.10787940002047,166.40743310004473,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.005,db,0.05011526190389498,0.000528200063854456,168.57252120005433,168.57252120005433,168.87200400000438,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.005,db,0.0501441188725492,0.0003614000743255019,170.98733959998935,170.98733959998935,171.28675890003797,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.005,db,0.0501441188725492,0.0005359000060707331,173.40177280001808,173.40177280001808,173.70140090002678,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.005,db,0.0501441188725492,0.0005174999823793769,175.91662200004794,175.91662200004794,176.2160968000535,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.005,db,0.05017299245739195,0.0003754999488592148,178.29782069998328,178.29782069998328,178.59736710006837,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.005,db,0.05017299245739195,0.0005004999693483114,180.71254590002354,180.71254590002354,181.01225160004105,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.005,db,0.05017299245739195,0.0003513999981805682,183.0938842999749,183.0938842999749,183.39348480000626,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.005,db,0.05020188266799103,0.0003809999907389283,185.47514490003232,185.47514490003232,185.7747697000159,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.050230789513919745,0.000511599937453866,187.9064531000331,187.9064531000331,188.20611829997506,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.05025971300475692,0.0003306999569758773,190.32139910000842,190.32139910000842,190.62097230006475,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.0502886531500869,0.0004104999825358391,192.71940359997097,192.71940359997097,193.01895850000437,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.05031760995949953,0.00047670002095401287,195.08396449999418,195.08396449999418,195.38372080004774,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.050346583442590194,0.0004957000492140651,197.4819458000129,197.4819458000129,197.781608600053,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05037557360895979,0.00036539998836815357,199.89669710001908,199.89669710001908,200.19624429999385,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05040458046821476,0.00047580001410096884,202.26137219998054,202.26137219998054,202.5611280000303,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.050433604029967063,0.0004594000056385994,204.6762881000759,204.6762881000759,204.97570810001343,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.050462644303834195,0.0002866999711841345,207.12390960007906,207.12390960007906,207.42366680002306,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.050462644303834195,0.000560099957510829,209.53873260004912,209.53873260004912,209.83829230000265,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.050491701299439196,0.0005404000403359532,211.9533636000706,211.9533636000706,212.25301590003073,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.05052077502641064,0.0004564999835565686,214.38459660008084,214.38459660008084,214.68438039999455,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.05054986549438265,0.00035399990156292915,216.79934939998202,216.79934939998202,217.0991275999695,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.0505789727129949,0.00034090003464370966,219.21421440003905,219.21421440003905,219.51403790002223,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.0505789727129949,0.0004373999545350671,221.5954522000393,221.5954522000393,221.89520150003955,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.0506080966918926,0.00044249999336898327,223.94366360001732,223.94366360001732,224.24331190006342,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.0506080966918926,0.0003066000062972307,226.34163839998655,226.34163839998655,226.64130070002284,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.05063723744072652,0.000314700067974627,228.8229795000516,228.8229795000516,229.12261000007857,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.05063723744072652,0.0003657999914139509,231.18765199999325,231.18765199999325,231.4872751000803,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.05063723744072652,0.000541800050996244,233.56900340004358,233.56900340004358,233.86868660000619,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050666394969153004,0.000512799946591258,235.98360849998426,235.98360849998426,236.2833157000132,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050666394969153004,0.00048559997230768204,238.41500160004944,238.41500160004944,238.7146870000288,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050666394969153004,0.0003599999472498894,240.79635630000848,240.79635630000848,241.09606670006178,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,down,0.005,db,0.05063723744072652,0.00043709995225071907,243.17788560001645,243.17788560001645,243.47742210002616,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.005,db,0.05063723744072652,0.0004898000042885542,245.65898180007935,245.65898180007935,245.95868060004432,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.050666394969153004,0.0003336999798193574,248.12373550003394,248.12373550003394,248.42335220007226,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.050666394969153004,0.0004697999684140086,250.47194670001045,250.47194670001045,250.77147140004672,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050695569286833934,0.0005661000031977892,252.8364653000608,252.8364653000608,253.13615490007214,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050724760403436764,0.0005394000327214599,255.30119969998486,255.30119969998486,255.600825099973,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.05075396832863452,0.00046710006427019835,257.6824859000044,257.6824859000044,257.9821598000126,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.05078319307210579,0.0003277999348938465,260.0970989000052,260.0970989000052,260.3968362000305,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.05078319307210579,0.00046360003761947155,262.5118124000728,262.5118124000728,262.8114982000552,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.050812434643534736,0.0003105999203398824,264.89328920003027,264.89328920003027,265.1928409000393,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.050841693052611096,0.0004905000096186996,267.37462500005495,267.37462500005495,267.67411440005526,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.050841693052611096,0.00035580003168433905,269.8224960999796,269.8224960999796,270.1222640000051,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.050841693052611096,0.0003706000279635191,272.20399090007413,272.20399090007413,272.50349290005397,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.050812434643534736,0.0004830000689253211,274.56858670001384,274.56858670001384,274.86837000004016,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.005,db,0.050812434643534736,0.0005091000348329544,276.900084999972,276.900084999972,277.1997075000545,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.005,db,0.050812434643534736,0.0005831000162288547,279.28141340008005,279.28141340008005,279.58115270000417,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,0.005,db,0.050841693052611096,0.00033270008862018585,281.67943330004346,281.67943330004346,281.9791735999752,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.050841693052611096,0.0002975999377667904,284.11085950001143,284.11085950001143,284.4104363999795,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,up,0.005,db,0.05087096830903019,0.0006209999555721879,286.47567060007714,286.47567060007714,286.77525589999277,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.05087096830903019,0.000505700008943677,288.9069800999714,288.9069800999714,289.2064890000038,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.005,db,0.05087096830903019,0.00046579993795603514,291.3047859000508,291.3047859000508,291.60452090005856,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.050841693052611096,0.00046689994633197784,293.73618700006045,293.73618700006045,294.035840400029,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.050841693052611096,0.0005228000227361917,296.11773360008374,296.11773360008374,296.4173770999769,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.050841693052611096,0.0004382999613881111,298.5488927999977,298.5488927999977,298.8487046000082,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.05087096830903019,0.0002968000480905175,301.01361380005255,301.01361380005255,301.3141969999997,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,up,0.005,db,0.05087096830903019,0.00034090003464370966,303.46158340002876,303.46158340002876,303.7612554000225,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,up,0.005,db,0.050900260422492925,0.0003551000263541937,305.8761803000234,305.8761803000234,306.1759044000646,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,0.050900260422492925,0.00031990010756999254,308.25762629997917,308.25762629997917,308.55725910002366,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.050900260422492925,0.0005778999766334891,310.67229330004193,310.67229330004193,310.97200650000013,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.050929569402705786,0.000507800024934113,313.0536260000663,313.0536260000663,313.3533591000596,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.050929569402705786,0.0006943000480532646,315.61836740002036,315.61836740002036,315.9179473000113,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,up,0.005,db,0.05095889525938085,0.0005249999230727553,318.04955090000294,318.04955090000294,318.3491444999818,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,up,0.005,db,0.05095889525938085,0.0005182999884709716,320.46425660001114,320.46425660001114,320.76402030000463,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,up,0.005,db,0.05095889525938085,0.0005462999688461423,322.8789331000298,322.8789331000298,323.1786202000221,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,0.005,db,0.05098823800223578,0.0005018999800086021,325.2770125999814,325.2770125999814,325.57671689998824,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,0.005,db,0.05098823800223578,0.00039389997255057096,327.70827639999334,327.70827639999334,328.00793860002887,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,up,0.005,db,0.05098823800223578,0.0003464999608695507,330.1065024000127,330.1065024000127,330.4060228000162,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,up,0.005,db,0.05101759764099385,0.00030479999259114265,332.6042966999812,332.6042966999812,332.9039623000426,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,up,0.005,db,0.05101759764099385,0.0005011999746784568,335.01918140007183,335.01918140007183,335.31883300002664,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.05101759764099385,0.00035779993049800396,337.400414200034,337.400414200034,337.70006080006715,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.05098823800223578,0.00036880001425743103,339.8817683000816,339.8817683000816,340.18156010005623,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,0.005,db,0.05101759764099385,0.0005423999391496181,342.27969910006505,342.27969910006505,342.5793532000389,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,0.005,db,0.05101759764099385,0.00033199996687471867,344.6610045999987,344.6610045999987,344.9607939000707,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,0.051046974185383925,0.0004977999487891793,347.02593230002094,347.02593230002094,347.32539820007514,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.051076367645140466,0.0003709000302478671,349.6236296000425,349.6236296000425,349.9233982000733,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,up,0.005,db,0.051076367645140466,0.00048150005750358105,352.0218386000488,352.0218386000488,352.3215578000527,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,0.005,db,0.05110577803000354,0.0003120000474154949,354.46963449998293,354.46963449998293,354.7693194000749,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,up,0.005,db,0.05110577803000354,0.000493300030939281,356.9843573999824,356.9843573999824,357.28392820002045,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,up,0.005,db,0.051135205349718826,0.00031619996298104525,359.39895900001284,359.39895900001284,359.6986645000288,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,up,0.005,db,0.051164649614037626,0.0003367000026628375,361.8470331999706,361.8470331999706,362.1467241999926,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,up,0.005,db,0.051194110832716834,0.00032750004902482033,364.51139530004,364.51139530004,364.8110235000495,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,up,0.005,db,0.051194110832716834,0.0003301999531686306,366.90953130007256,366.90953130007256,367.2091789999977,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,up,0.005,db,0.051194110832716834,0.0005190999945625663,369.3241813000059,369.3241813000059,369.6237578999717,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,up,0.005,db,0.05122358901551898,0.0003349999897181988,371.83874350006226,371.83874350006226,372.1384368999861,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,up,0.005,db,0.05122358901551898,0.0005174999823793769,374.2700329000363,374.2700329000363,374.56992090004496,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,up,0.005,db,0.05122358901551898,0.0004886999959126115,376.71830100007355,376.71830100007355,377.0181562000653,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,up,0.005,db,0.05125308417221221,0.0003618999617174268,379.1826953999698,379.1826953999698,379.4824376000324,0,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,up,0.005,db,0.05128259631257029,0.0005018999800086021,381.5807650000788,381.5807650000788,381.88049940008204,1,258046,001,2022-09-06_18h25.01.052,T3,2022.2.3,60.056272722558184,
